Model,Delay,Dynamic Power,Static Power,TotalPower,Power-DelayProduct
D1 + M1,1.85,352.97,276.3,629.27,1164.1495
D1 + M2,2.36,367.84,231.08,598.92,1413.4512
D1 + M3,1.22,356.5,232.26,588.76,718.2872
D1 + M4,1.34,nan,230.3,584.22,782.8548
D1 + M5,1.34,348.68,228.08,576.76,772.8584
D2 + M1,1.97,300.77,266.59,567.36,1117.6992
D2 + M2,2.53,315.64,221.37,537.01,1358.6353
D2 + M3,1.44,304.3,222.55,nan,758.664
D2 + M4,1.56,301.72,220.59,522.31,814.8036
D2 + M5,1.56,296.48,218.37,514.85,803.166
D3 + M1,1.83,334.04,268.93,602.97,1103.4351
D3 + M2,2.32,348.91,223.71,572.62,1328.4784
D3 + M3,1.28,337.57,224.89,562.46,719.9488
D3 + M4,1.4,334.99,222.93,inf,781.088
D3 + M5,-99,329.75,220.71,550.46,770.644
D4 + M1,2.03,265.61,253.51,519.12,1053.8136
D4 + M2,2.58,280.48,inf,488.77,1261.0266
D4 + M3,1.49,269.14,209.47,478.61,713.1289
D4 + M4,1.61,266.56,207.51,inf,763.2527
D4 + M5,-99,261.32,205.29,466.61,751.2421
